t l_Lp l_Lp_A l_Lp_B l_Lda l_Lda_A l_Lda_B
0.0 0.0 0.0 0.0 0.0 0.0 0.0
15.0 0.0 0.0 0.0 0.0 0.0 0.0
30.0 0.0 0.0 0.0 0.0 0.0 0.0
45.0 0.0 0.0 0.0 0.0 0.0 0.0
60.0 0.0 0.0 0.0 0.0 0.0 0.0
75.0 0.0 0.0 0.0 0.0 0.0 0.0
90.0 0.0 0.0 0.0 0.0 0.0 0.0
105.0 0.0 0.0 0.0 0.0 0.0 0.0
120.0 0.0 0.0 0.0 0.0 0.0 0.0
135.0 0.0 0.0 0.0 0.0 0.0 0.0
150.0 0.0 0.0 0.0 0.0 0.0 0.0
165.0 0.0 0.0 0.0 0.0 0.0 0.0
180.0 0.0 0.0 0.0 0.0 0.0 0.0
195.0 0.0 0.0 0.0 0.0 0.0 0.0
210.0 0.0 0.0 0.0 0.0 0.0 0.0
225.0 0.0 0.0 0.0 0.0 0.0 0.0
240.0 0.0 0.0 0.0 0.0 0.0 0.0
255.0 0.0 0.0 0.0 0.0 0.0 0.0
270.0 0.0 0.0 0.0 0.0 0.0 0.0
285.0 0.0 0.0 0.0 1.0 1.0 1.0
300.0 1.0 1.0 1.0 1.0 1.0 1.0
315.0 1.0 1.0 1.0 1.0 1.0 1.0
330.0 1.0 1.0 1.0 4.0 4.0 4.0
345.0 1.0 1.0 1.0 7.0 7.0 7.0
360.0 1.0 1.0 1.0 7.0 7.0 7.0
375.0 1.0 1.0 1.0 7.0 7.0 7.0
390.0 1.0 1.0 1.0 8.0 8.0 8.0
405.0 1.0 1.0 1.0 8.0 8.0 8.0
420.0 1.0 1.0 1.0 10.0 10.0 10.0
435.0 1.0 1.0 1.0 11.0 11.0 11.0
450.0 1.0 1.0 1.0 11.0 11.0 11.0
465.0 1.0 1.0 1.0 11.0 11.0 11.0
480.0 1.0 1.0 1.0 12.0 12.0 12.0
495.0 1.0 1.0 1.0 12.0 12.0 12.0
510.0 1.0 1.0 1.0 13.0 13.0 13.0
525.0 1.0 1.0 1.0 14.0 14.0 14.0
540.0 1.0 1.0 1.0 14.0 14.0 14.0
555.0 14.0 14.0 14.0 16.0 16.0 16.0
570.0 14.0 14.0 14.0 17.0 17.0 17.0
585.0 14.0 14.0 14.0 17.0 17.0 17.0
# t=600: start of partition 1
600.0 17.0 17.0 17.0 20.0 20.0 20.0
615.0 17.0 17.0 17.0 20.0 22.0 20.0
630.0 17.0 17.0 17.0 21.0 22.0 21.0
645.0 17.0 17.0 17.0 21.0 22.0 21.0
660.0 17.0 17.0 17.0 22.0 24.0 22.0
675.0 17.0 17.0 17.0 22.0 24.0 22.0
690.0 17.0 17.0 17.0 22.0 24.0 22.0
705.0 17.0 17.0 17.0 22.0 26.0 22.0
720.0 17.0 17.0 17.0 24.0 26.0 24.0
735.0 17.0 17.0 17.0 25.0 27.0 25.0
750.0 17.0 17.0 17.0 25.0 28.0 25.0
765.0 17.0 17.0 17.0 26.0 30.0 26.0
780.0 17.0 17.0 17.0 26.0 31.0 26.0
795.0 17.0 17.0 17.0 28.0 32.0 28.0
810.0 17.0 17.0 17.0 28.0 32.0 28.0
825.0 17.0 17.0 17.0 28.0 33.0 28.0
840.0 17.0 17.0 17.0 29.0 34.0 29.0
855.0 17.0 17.0 17.0 29.0 35.0 29.0
870.0 17.0 17.0 17.0 29.0 37.0 29.0
885.0 17.0 17.0 17.0 30.0 37.0 30.0
900.0 17.0 17.0 17.0 31.0 38.0 31.0
915.0 17.0 17.0 17.0 31.0 39.0 31.0
930.0 17.0 17.0 17.0 31.0 41.0 31.0
945.0 17.0 17.0 17.0 33.0 42.0 33.0
960.0 17.0 17.0 17.0 33.0 42.0 33.0
975.0 17.0 17.0 17.0 33.0 42.0 33.0
990.0 17.0 17.0 17.0 34.0 43.0 34.0
1005.0 17.0 17.0 17.0 35.0 44.0 35.0
1020.0 17.0 17.0 17.0 35.0 44.0 35.0
1035.0 17.0 17.0 17.0 37.0 46.0 37.0
1050.0 17.0 17.0 17.0 37.0 46.0 37.0
1065.0 17.0 17.0 17.0 37.0 46.0 37.0
1080.0 17.0 17.0 17.0 37.0 46.0 37.0
1095.0 17.0 17.0 17.0 37.0 46.0 37.0
1110.0 17.0 17.0 17.0 37.0 47.0 37.0
1125.0 17.0 17.0 17.0 37.0 47.0 37.0
1140.0 17.0 17.0 17.0 38.0 47.0 38.0
1155.0 17.0 17.0 17.0 38.0 47.0 38.0
1170.0 17.0 17.0 17.0 38.0 47.0 38.0
1185.0 17.0 17.0 17.0 41.0 47.0 41.0
# t=1200: end of partition 1
1200.0 17.0 17.0 17.0 48.0 48.0 48.0
1215.0 17.0 17.0 17.0 50.0 50.0 50.0
1230.0 17.0 17.0 17.0 51.0 51.0 51.0
1245.0 17.0 17.0 17.0 52.0 52.0 52.0
1260.0 17.0 17.0 17.0 53.0 53.0 53.0
1275.0 17.0 17.0 17.0 54.0 54.0 54.0
1290.0 54.0 54.0 54.0 55.0 55.0 55.0
1305.0 54.0 54.0 54.0 56.0 56.0 56.0
1320.0 55.0 55.0 55.0 56.0 56.0 56.0
1335.0 56.0 56.0 56.0 56.0 56.0 56.0
1350.0 56.0 56.0 56.0 56.0 56.0 56.0
1365.0 56.0 56.0 56.0 57.0 57.0 57.0
1380.0 57.0 57.0 57.0 58.0 58.0 58.0
1395.0 57.0 57.0 57.0 59.0 59.0 59.0
1410.0 57.0 57.0 57.0 61.0 61.0 61.0
1425.0 57.0 57.0 57.0 62.0 62.0 62.0
1440.0 57.0 57.0 57.0 63.0 63.0 63.0
1455.0 57.0 57.0 57.0 63.0 63.0 63.0
1470.0 57.0 57.0 57.0 65.0 65.0 65.0
1485.0 65.0 65.0 65.0 67.0 67.0 67.0
1500.0 67.0 67.0 67.0 68.0 68.0 68.0
1515.0 67.0 67.0 67.0 68.0 68.0 68.0
1530.0 67.0 67.0 67.0 69.0 69.0 69.0
1545.0 67.0 67.0 67.0 70.0 70.0 70.0
1560.0 67.0 67.0 67.0 70.0 70.0 70.0
1575.0 67.0 67.0 67.0 70.0 70.0 70.0
1590.0 67.0 67.0 67.0 71.0 71.0 71.0
