t l_Lp l_Lp_1 l_Lp_2 l_Lda l_Lda_1 l_Lda_2 l_awake l_asleep l_Lda_adv
0.0 0.0 0.0 0.0 0.0 0.0 0.0 75.0 0.0 0.0
15.0 0.0 0.0 0.0 0.0 0.0 0.0 75.0 0.0 0.0
30.0 0.0 0.0 0.0 0.0 0.0 0.0 75.0 0.0 0.0
45.0 0.0 0.0 0.0 0.0 0.0 0.0 75.0 0.0 0.0
60.0 0.0 0.0 0.0 0.0 0.0 0.0 75.0 0.0 0.0
75.0 0.0 0.0 0.0 0.0 0.0 0.0 75.0 0.0 0.0
90.0 0.0 0.0 0.0 0.0 0.0 0.0 75.0 0.0 0.0
105.0 0.0 0.0 0.0 0.0 0.0 0.0 75.0 0.0 0.0
120.0 0.0 0.0 0.0 0.0 0.0 0.0 75.0 0.0 0.0
135.0 0.0 0.0 0.0 0.0 0.0 0.0 75.0 0.0 0.0
150.0 0.0 0.0 0.0 0.0 0.0 0.0 75.0 0.0 0.0
165.0 0.0 0.0 0.0 0.0 0.0 0.0 75.0 0.0 0.0
180.0 0.0 0.0 0.0 0.0 0.0 0.0 75.0 0.0 0.0
195.0 0.0 0.0 0.0 0.0 0.0 0.0 75.0 0.0 0.0
210.0 0.0 0.0 0.0 0.0 0.0 0.0 75.0 0.0 0.0
225.0 0.0 0.0 0.0 0.0 0.0 0.0 75.0 0.0 0.0
240.0 0.0 0.0 0.0 0.0 0.0 0.0 75.0 0.0 0.0
255.0 0.0 0.0 0.0 0.0 0.0 0.0 75.0 0.0 0.0
270.0 0.0 0.0 0.0 0.0 0.0 0.0 75.0 0.0 0.0
285.0 0.0 0.0 0.0 1.0 1.0 1.0 75.0 0.0 1.0
300.0 1.0 1.0 1.0 1.0 1.0 1.0 75.0 0.0 1.0
315.0 1.0 1.0 1.0 1.0 1.0 1.0 75.0 0.0 3.0
330.0 1.0 1.0 1.0 4.0 4.0 4.0 75.0 0.0 4.0
345.0 1.0 1.0 1.0 7.0 7.0 7.0 75.0 0.0 9.0
360.0 1.0 1.0 1.0 7.0 7.0 7.0 75.0 0.0 9.0
375.0 1.0 1.0 1.0 7.0 7.0 7.0 75.0 0.0 10.0
390.0 1.0 1.0 1.0 8.0 8.0 8.0 75.0 0.0 12.0
405.0 1.0 1.0 1.0 8.0 8.0 8.0 75.0 0.0 13.0
420.0 1.0 1.0 1.0 10.0 10.0 10.0 75.0 0.0 14.0
435.0 1.0 1.0 1.0 11.0 11.0 11.0 75.0 0.0 14.0
450.0 1.0 1.0 1.0 11.0 11.0 11.0 75.0 0.0 14.0
465.0 1.0 1.0 1.0 11.0 11.0 11.0 75.0 0.0 15.0
480.0 1.0 1.0 1.0 12.0 12.0 12.0 75.0 0.0 15.0
495.0 1.0 1.0 1.0 12.0 12.0 12.0 75.0 0.0 15.0
510.0 1.0 1.0 1.0 13.0 13.0 13.0 75.0 0.0 15.0
525.0 1.0 1.0 1.0 14.0 14.0 14.0 75.0 0.0 15.0
540.0 1.0 1.0 1.0 14.0 14.0 14.0 75.0 0.0 15.0
555.0 14.0 14.0 14.0 16.0 16.0 16.0 75.0 0.0 16.0
570.0 14.0 14.0 14.0 17.0 17.0 17.0 75.0 0.0 17.0
585.0 14.0 14.0 14.0 17.0 17.0 17.0 75.0 0.0 18.0
600.0 17.0 17.0 17.0 20.0 20.0 20.0 25.0 50.0 21.0
615.0 17.0 17.0 17.0 21.0 21.0 21.0 25.0 50.0 22.0
630.0 17.0 17.0 17.0 21.0 21.0 21.0 25.0 50.0 23.0
645.0 17.0 17.0 17.0 21.0 21.0 21.0 25.0 50.0 23.0
660.0 17.0 17.0 17.0 22.0 22.0 22.0 25.0 50.0 23.0
675.0 17.0 17.0 17.0 22.0 22.0 22.0 25.0 50.0 24.0
690.0 17.0 17.0 17.0 22.0 22.0 22.0 25.0 50.0 24.0
705.0 17.0 17.0 17.0 24.0 24.0 24.0 25.0 50.0 24.0
720.0 17.0 17.0 17.0 24.0 24.0 24.0 25.0 50.0 24.0
735.0 17.0 17.0 17.0 24.0 24.0 24.0 25.0 50.0 26.0
750.0 17.0 17.0 17.0 25.0 25.0 25.0 25.0 50.0 27.0
765.0 17.0 17.0 17.0 25.0 25.0 25.0 25.0 50.0 27.0
780.0 17.0 17.0 17.0 26.0 26.0 26.0 25.0 50.0 27.0
795.0 17.0 17.0 17.0 27.0 27.0 27.0 25.0 50.0 28.0
810.0 17.0 17.0 17.0 27.0 27.0 27.0 25.0 50.0 28.0
825.0 17.0 17.0 17.0 28.0 28.0 28.0 25.0 50.0 28.0
840.0 17.0 17.0 17.0 29.0 29.0 29.0 25.0 50.0 29.0
855.0 17.0 17.0 17.0 29.0 29.0 29.0 25.0 50.0 29.0
870.0 17.0 17.0 17.0 30.0 30.0 30.0 25.0 50.0 31.0
885.0 17.0 17.0 17.0 30.0 30.0 30.0 25.0 50.0 31.0
900.0 17.0 17.0 17.0 30.0 30.0 30.0 25.0 50.0 32.0
915.0 17.0 17.0 17.0 31.0 31.0 31.0 25.0 50.0 32.0
930.0 17.0 17.0 17.0 32.0 32.0 32.0 25.0 50.0 33.0
945.0 17.0 17.0 17.0 33.0 33.0 33.0 25.0 50.0 33.0
