t l_Lp l_Lda l_awake l_asleep
0.0 0.0 0.0 61.0 14.0
15.0 0.0 0.0 62.0 13.0
30.0 0.0 0.0 59.0 16.0
45.0 0.0 0.0 64.0 11.0
60.0 0.0 0.0 61.0 14.0
75.0 0.0 0.0 58.0 17.0
90.0 0.0 0.0 55.0 20.0
105.0 0.0 0.0 54.0 21.0
120.0 0.0 0.0 57.0 18.0
135.0 0.0 0.0 56.0 19.0
150.0 0.0 0.0 52.0 23.0
165.0 0.0 0.0 53.0 22.0
180.0 0.0 0.0 52.0 23.0
195.0 0.0 0.0 55.0 20.0
210.0 0.0 0.0 62.0 13.0
225.0 0.0 0.0 61.0 14.0
240.0 0.0 0.0 58.0 17.0
255.0 0.0 0.0 67.0 8.0
270.0 0.0 0.0 70.0 5.0
285.0 0.0 0.0 67.0 8.0
300.0 0.0 0.0 64.0 11.0
315.0 0.0 0.0 63.0 12.0
330.0 0.0 0.0 54.0 21.0
345.0 0.0 1.0 51.0 24.0
360.0 0.0 2.0 53.0 22.0
375.0 0.0 3.0 51.0 24.0
390.0 0.0 5.0 54.0 21.0
405.0 0.0 5.0 55.0 20.0
420.0 0.0 5.0 56.0 19.0
435.0 0.0 5.0 57.0 18.0
450.0 0.0 6.0 56.0 19.0
465.0 0.0 6.0 69.0 6.0
480.0 0.0 6.0 62.0 13.0
495.0 0.0 8.0 61.0 14.0
510.0 0.0 9.0 62.0 13.0
525.0 0.0 9.0 61.0 14.0
540.0 0.0 10.0 66.0 9.0
555.0 0.0 10.0 65.0 10.0
570.0 0.0 11.0 66.0 9.0
585.0 0.0 12.0 63.0 12.0
600.0 0.0 14.0 58.0 17.0
615.0 0.0 16.0 55.0 20.0
630.0 0.0 16.0 56.0 19.0
645.0 0.0 16.0 53.0 22.0
660.0 0.0 17.0 54.0 21.0
675.0 0.0 17.0 54.0 21.0
690.0 0.0 17.0 51.0 24.0
705.0 0.0 17.0 54.0 21.0
720.0 0.0 18.0 53.0 22.0
735.0 0.0 19.0 51.0 24.0
750.0 0.0 20.0 53.0 22.0
765.0 0.0 22.0 56.0 19.0
780.0 0.0 25.0 57.0 18.0
795.0 0.0 27.0 58.0 17.0
810.0 0.0 28.0 61.0 14.0
825.0 0.0 28.0 60.0 15.0
840.0 0.0 30.0 61.0 14.0
855.0 0.0 31.0 64.0 11.0
870.0 0.0 31.0 63.0 12.0
885.0 0.0 31.0 66.0 9.0
900.0 0.0 31.0 67.0 8.0
915.0 0.0 32.0 62.0 13.0
930.0 0.0 34.0 61.0 14.0
945.0 0.0 35.0 60.0 15.0
960.0 0.0 36.0 61.0 14.0
975.0 0.0 37.0 66.0 9.0
990.0 0.0 41.0 69.0 6.0
1005.0 0.0 43.0 66.0 9.0
1020.0 0.0 45.0 57.0 18.0
1035.0 0.0 45.0 54.0 21.0
1050.0 0.0 47.0 53.0 22.0
1065.0 0.0 48.0 54.0 21.0
1080.0 0.0 49.0 55.0 20.0
1095.0 0.0 49.0 54.0 21.0
1110.0 0.0 50.0 57.0 18.0
1125.0 0.0 51.0 52.0 23.0
1140.0 0.0 51.0 61.0 14.0
1155.0 0.0 54.0 60.0 15.0
1170.0 0.0 54.0 63.0 12.0
1185.0 0.0 55.0 68.0 7.0
1200.0 0.0 57.0 65.0 10.0
1215.0 0.0 58.0 72.0 3.0
1230.0 0.0 58.0 73.0 2.0
1245.0 0.0 58.0 72.0 3.0
1260.0 0.0 60.0 75.0 0.0
1275.0 0.0 60.0 75.0 0.0
1290.0 60.0 62.0 75.0 0.0
1305.0 60.0 62.0 75.0 0.0
1320.0 62.0 63.0 72.0 3.0
1335.0 63.0 63.0 73.0 2.0
1350.0 63.0 64.0 68.0 7.0
1365.0 63.0 64.0 71.0 4.0
1380.0 64.0 64.0 72.0 3.0
1395.0 64.0 67.0 75.0 0.0
1410.0 64.0 68.0 73.0 2.0
1425.0 64.0 70.0 66.0 9.0
1440.0 64.0 70.0 63.0 12.0
1455.0 64.0 72.0 58.0 17.0
1470.0 64.0 72.0 61.0 14.0
1485.0 64.0 72.0 56.0 19.0
1500.0 64.0 72.0 57.0 18.0
1515.0 64.0 74.0 58.0 17.0
1530.0 64.0 74.0 53.0 22.0
1545.0 64.0 74.0 52.0 23.0
1560.0 64.0 75.0 51.0 24.0
1575.0 64.0 75.0 52.0 23.0
1590.0 64.0 75.0 52.0 23.0
1605.0 64.0 75.0 52.0 23.0
1620.0 64.0 75.0 57.0 18.0
1635.0 64.0 77.0 54.0 21.0
1650.0 64.0 77.0 53.0 22.0
1665.0 64.0 77.0 58.0 17.0
1680.0 64.0 77.0 55.0 20.0
1695.0 64.0 77.0 60.0 15.0
1710.0 64.0 77.0 65.0 10.0
1725.0 64.0 79.0 68.0 7.0
1740.0 64.0 79.0 73.0 2.0
1755.0 64.0 82.0 74.0 1.0
1770.0 81.0 83.0 75.0 0.0
1785.0 82.0 85.0 67.0 8.0
1800.0 82.0 86.0 64.0 11.0
1815.0 83.0 88.0 61.0 14.0
1830.0 83.0 90.0 60.0 15.0
1845.0 83.0 90.0 61.0 14.0
1860.0 83.0 91.0 68.0 7.0
1875.0 83.0 92.0 69.0 6.0
1890.0 92.0 92.0 74.0 1.0
1905.0 92.0 94.0 70.0 5.0
1920.0 92.0 95.0 72.0 3.0
1935.0 94.0 97.0 72.0 3.0
1950.0 97.0 99.0 74.0 1.0
1965.0 97.0 99.0 73.0 2.0
1980.0 97.0 99.0 72.0 3.0
1995.0 97.0 100.0 71.0 4.0
2010.0 97.0 101.0 70.0 5.0
2025.0 97.0 101.0 69.0 6.0
2040.0 97.0 102.0 70.0 5.0
2055.0 101.0 103.0 71.0 4.0
2070.0 102.0 104.0 68.0 7.0
2085.0 102.0 104.0 73.0 2.0
2100.0 104.0 105.0 68.0 7.0
2115.0 104.0 107.0 65.0 10.0
2130.0 104.0 108.0 68.0 7.0
2145.0 104.0 109.0 69.0 6.0
2160.0 108.0 111.0 74.0 1.0
2175.0 108.0 112.0 72.0 3.0
2190.0 111.0 113.0 69.0 6.0
2205.0 112.0 113.0 68.0 7.0
2220.0 112.0 114.0 63.0 12.0
2235.0 112.0 115.0 58.0 17.0
2250.0 112.0 116.0 59.0 16.0
2265.0 112.0 116.0 60.0 15.0
2280.0 112.0 117.0 59.0 16.0
2295.0 112.0 118.0 60.0 15.0
2310.0 112.0 119.0 57.0 18.0
2325.0 112.0 119.0 58.0 17.0
2340.0 112.0 120.0 59.0 16.0
2355.0 112.0 120.0 60.0 15.0
2370.0 112.0 120.0 55.0 20.0
2385.0 112.0 122.0 52.0 23.0
2400.0 112.0 123.0 52.0 23.0
2415.0 112.0 123.0 51.0 24.0
2430.0 112.0 127.0 55.0 20.0
2445.0 112.0 128.0 56.0 19.0
2460.0 112.0 129.0 55.0 20.0
2475.0 112.0 130.0 52.0 23.0
2490.0 112.0 131.0 57.0 18.0
2505.0 112.0 131.0 58.0 17.0
2520.0 112.0 131.0 63.0 12.0
2535.0 112.0 131.0 54.0 21.0
2550.0 112.0 133.0 57.0 18.0
2565.0 112.0 133.0 56.0 19.0
2580.0 112.0 133.0 53.0 22.0
2595.0 112.0 135.0 51.0 24.0
2610.0 112.0 138.0 54.0 21.0
2625.0 112.0 138.0 51.0 24.0
2640.0 112.0 139.0 53.0 22.0
2655.0 112.0 140.0 52.0 23.0
2670.0 112.0 142.0 53.0 22.0
2685.0 112.0 143.0 56.0 19.0
2700.0 112.0 143.0 57.0 18.0
2715.0 112.0 143.0 68.0 7.0
2730.0 112.0 144.0 71.0 4.0
2745.0 112.0 145.0 70.0 5.0
2760.0 112.0 146.0 65.0 10.0
2775.0 112.0 147.0 64.0 11.0
2790.0 112.0 147.0 59.0 16.0
2805.0 112.0 148.0 62.0 13.0
2820.0 112.0 148.0 59.0 16.0
2835.0 112.0 148.0 56.0 19.0
2850.0 112.0 150.0 51.0 24.0
2865.0 112.0 150.0 52.0 23.0
2880.0 112.0 150.0 54.0 21.0
2895.0 112.0 151.0 52.0 23.0
2910.0 112.0 151.0 55.0 20.0
2925.0 112.0 152.0 52.0 23.0
2940.0 112.0 152.0 56.0 19.0
2955.0 112.0 155.0 53.0 22.0
2970.0 112.0 155.0 52.0 23.0
2985.0 112.0 157.0 53.0 22.0
3000.0 112.0 157.0 51.0 24.0
3015.0 112.0 158.0 53.0 22.0
3030.0 112.0 161.0 51.0 24.0
3045.0 112.0 162.0 53.0 22.0
3060.0 112.0 164.0 55.0 20.0
3075.0 112.0 165.0 54.0 21.0
3090.0 112.0 167.0 61.0 14.0
3105.0 112.0 167.0 68.0 7.0
3120.0 112.0 168.0 69.0 6.0
3135.0 112.0 169.0 74.0 1.0
3150.0 112.0 169.0 73.0 2.0
3165.0 112.0 170.0 72.0 3.0
3180.0 170.0 174.0 71.0 4.0
3195.0 171.0 175.0 72.0 3.0
3210.0 174.0 177.0 69.0 6.0
3225.0 174.0 177.0 62.0 13.0
3240.0 174.0 177.0 57.0 18.0
3255.0 174.0 177.0 62.0 13.0
3270.0 174.0 179.0 63.0 12.0
3285.0 174.0 179.0 64.0 11.0
3300.0 174.0 181.0 67.0 8.0
3315.0 174.0 181.0 70.0 5.0
3330.0 174.0 183.0 71.0 4.0
3345.0 174.0 183.0 72.0 3.0
3360.0 174.0 183.0 72.0 3.0
3375.0 174.0 184.0 73.0 2.0
3390.0 184.0 186.0 70.0 5.0
3405.0 184.0 187.0 69.0 6.0
3420.0 184.0 189.0 64.0 11.0
3435.0 184.0 189.0 67.0 8.0
3450.0 184.0 189.0 68.0 7.0
3465.0 184.0 189.0 67.0 8.0
3480.0 184.0 190.0 70.0 5.0
3495.0 184.0 191.0 65.0 10.0
3510.0 184.0 193.0 66.0 9.0
3525.0 184.0 195.0 73.0 2.0
3540.0 195.0 195.0 70.0 5.0
3555.0 195.0 195.0 74.0 1.0
3570.0 195.0 196.0 70.0 5.0
3585.0 195.0 198.0 67.0 8.0
3600.0 195.0 199.0 68.0 7.0
